city,state_name,county_name
New York,New York,Queens
Los Angeles,California,Los Angeles
Chicago,Illinois,Cook
Miami,Florida,Miami-Dade
Houston,Texas,Harris
Dallas,Texas,Dallas
Philadelphia,Pennsylvania,Philadelphia
Atlanta,Georgia,Fulton
Washington,District of Columbia,District of Columbia
Boston,Massachusetts,Suffolk
Phoenix,Arizona,Maricopa
Detroit,Michigan,Wayne
Seattle,Washington,King
San Francisco,California,San Francisco
San Diego,California,San Diego
Minneapolis,Minnesota,Hennepin
Tampa,Florida,Hillsborough
Brooklyn,New York,Kings
Denver,Colorado,Denver
Queens,New York,Queens
Riverside,California,Riverside
Las Vegas,Nevada,Clark
Baltimore,Maryland,Baltimore
St. Louis,Missouri,St. Louis
Portland,Oregon,Multnomah
San Antonio,Texas,Bexar
Sacramento,California,Sacramento
Austin,Texas,Travis
Orlando,Florida,Orange
San Juan,Puerto Rico,San Juan
San Jose,California,Santa Clara
Indianapolis,Indiana,Marion
Pittsburgh,Pennsylvania,Allegheny
Cincinnati,Ohio,Hamilton
Manhattan,New York,New York
Kansas City,Missouri,Jackson
Cleveland,Ohio,Cuyahoga
Columbus,Ohio,Franklin
Bronx,New York,Bronx
Charlotte,North Carolina,Mecklenburg
Virginia Beach,Virginia,Virginia Beach
Jacksonville,Florida,Duval
Milwaukee,Wisconsin,Milwaukee
Providence,Rhode Island,Providence
Nashville,Tennessee,Davidson
Salt Lake City,Utah,Salt Lake
Raleigh,North Carolina,Wake
Richmond,Virginia,Richmond
Memphis,Tennessee,Shelby
Oklahoma City,Oklahoma,Oklahoma
Hartford,Connecticut,Capitol
Louisville,Kentucky,Jefferson
Buffalo,New York,Erie
Fort Worth,Texas,Tarrant
Bridgeport,Connecticut,Greater Bridgeport
New Orleans,Louisiana,Orleans
Tucson,Arizona,Pima
El Paso,Texas,El Paso
Omaha,Nebraska,Douglas
McAllen,Texas,Hidalgo
Birmingham,Alabama,Jefferson
Albuquerque,New Mexico,Bernalillo
Tulsa,Oklahoma,Tulsa
Charleston,South Carolina,Charleston
Fresno,California,Fresno
Rochester,New York,Monroe
Dayton,Ohio,Montgomery
Cape Coral,Florida,Lee
Provo,Utah,Utah
Colorado Springs,Colorado,El Paso
Mission Viejo,California,Orange
Allentown,Pennsylvania,Lehigh
Baton Rouge,Louisiana,East Baton Rouge
Ogden,Utah,Weber
Knoxville,Tennessee,Knox
Grand Rapids,Michigan,Kent
Columbia,South Carolina,Richland
Albany,New York,Albany
Bakersfield,California,Kern
New Haven,Connecticut,South Central Connecticut
Des Moines,Iowa,Polk
Palm Bay,Florida,Brevard
Akron,Ohio,Summit
Concord,California,Contra Costa
Mesa,Arizona,Maricopa
Wichita,Kansas,Sedgwick
Harrisburg,Pennsylvania,Dauphin
Staten Island,New York,Richmond
Toledo,Ohio,Lucas
Worcester,Massachusetts,Worcester
Port St. Lucie,Florida,St. Lucie
Little Rock,Arkansas,Pulaski
Madison,Wisconsin,Dane
Spokane,Washington,Spokane
Long Beach,California,Los Angeles
Denton,Texas,Denton
Reno,Nevada,Washoe
Boise,Idaho,Ada
Bonita Springs,Florida,Lee
Kissimmee,Florida,Osceola
Augusta,Georgia,Richmond
Springfield,Massachusetts,Hampden
Oakland,California,Alameda
Winston-Salem,North Carolina,Forsyth
Stockton,California,San Joaquin
Durham,North Carolina,Durham
Chattanooga,Tennessee,Hamilton
Greenville,South Carolina,Greenville
Lancaster,Pennsylvania,Lancaster
Syracuse,New York,Onondaga
Fayetteville,Arkansas,Washington
Pensacola,Florida,Escambia
Arlington,Texas,Tarrant
Aurora,Colorado,Arapahoe
Scranton,Pennsylvania,Lackawanna
Oxnard,California,Ventura
Indio,California,Riverside
Victorville,California,San Bernardino
Trenton,New Jersey,Mercer
Huntsville,Alabama,Madison
Modesto,California,Stanislaus
Honolulu,Hawaii,Honolulu
Greensboro,North Carolina,Guilford
Fort Wayne,Indiana,Allen
Anaheim,California,Orange
Corpus Christi,Texas,Nueces
Fort Collins,Colorado,Larimer
Antioch,California,Contra Costa
Jackson,Mississippi,Hinds
Fayetteville,North Carolina,Cumberland
Myrtle Beach,South Carolina,Horry
Henderson,Nevada,Clark
Mobile,Alabama,Mobile
Lexington,Kentucky,Fayette
Lansing,Michigan,Ingham
Savannah,Georgia,Chatham
Youngstown,Ohio,Mahoning
Ann Arbor,Michigan,Washtenaw
Santa Ana,California,Orange
Irvine,California,Orange
St. Paul,Minnesota,Ramsey
Poughkeepsie,New York,Dutchess
Newark,New Jersey,Essex
Santa Rosa,California,Sonoma
Concord,North Carolina,Cabarrus
Winter Haven,Florida,Polk
Asheville,North Carolina,Buncombe
Canton,Ohio,Stark
Lincoln,Nebraska,Lancaster
Flint,Michigan,Genesee
Lakeland,Florida,Polk
Jersey City,New Jersey,Hudson
Anchorage,Alaska,Anchorage
Springfield,Missouri,Greene
Plano,Texas,Collin
Lubbock,Texas,Lubbock
Davenport,Iowa,Scott
Reading,Pennsylvania,Berks
Shreveport,Louisiana,Caddo
Chandler,Arizona,Maricopa
South Bend,Indiana,St. Joseph
Wilmington,North Carolina,New Hanover
Chula Vista,California,San Diego
Rockford,Illinois,Winnebago
Eugene,Oregon,Lane
Salem,Oregon,Marion
Gilbert,Arizona,Maricopa
North Las Vegas,Nevada,Clark
Santa Clarita,California,Los Angeles
Peoria,Illinois,Peoria
Tallahassee,Florida,Leon
Killeen,Texas,Bell
St. Petersburg,Florida,Pinellas
Kennewick,Washington,Benton
Columbus,Georgia,Muscogee
Laredo,Texas,Webb
Irving,Texas,Dallas
Round Lake Beach,Illinois,Lake
Montgomery,Alabama,Montgomery
Chesapeake,Virginia,Chesapeake
Glendale,Arizona,Maricopa
Nashua,New Hampshire,Hillsborough
York,Pennsylvania,York
Garland,Texas,Dallas
Rock Hill,South Carolina,York
Scottsdale,Arizona,Maricopa
Aguadilla,Puerto Rico,Aguadilla
Arlington,Virginia,Arlington
Norfolk,Virginia,Norfolk
Appleton,Wisconsin,Outagamie
Enterprise,Nevada,Clark
Gulfport,Mississippi,Harrison
Lafayette,Louisiana,Lafayette
Bremerton,Washington,Kitsap
Fremont,California,Alameda
Green Bay,Wisconsin,Brown
Fargo,North Dakota,Cass
Deltona,Florida,Volusia
Brownsville,Texas,Cameron
Hialeah,Florida,Miami-Dade
San Bernardino,California,San Bernardino
Tacoma,Washington,Pierce
Gainesville,Florida,Alachua
Spring Valley,Nevada,Clark
Clarksville,Tennessee,Montgomery
College Station,Texas,Brazos
Olympia,Washington,Thurston
Roanoke,Virginia,Roanoke
Portland,Maine,Cumberland
Fontana,California,San Bernardino
Spartanburg,South Carolina,Spartanburg
Moreno Valley,California,Riverside
Frisco,Texas,Collin
Yonkers,New York,Westchester
Thousand Oaks,California,Ventura
Sioux Falls,South Dakota,Minnehaha
Hagerstown,Maryland,Washington
Evansville,Indiana,Vanderburgh
Amarillo,Texas,Potter
Kalamazoo,Michigan,Kalamazoo
Lorain,Ohio,Lorain
Galveston,Texas,Galveston
McKinney,Texas,Collin
Huntington,West Virginia,Cabell
Nampa,Idaho,Canyon
Hickory,North Carolina,Catawba
Waterbury,Connecticut,Naugatuck Valley
Sunrise Manor,Nevada,Clark
Grand Prairie,Texas,Dallas
Ocala,Florida,Marion
Waco,Texas,McLennan
Overland Park,Kansas,Johnson
Frederick,Maryland,Frederick
Huntington Beach,California,Orange
Santa Barbara,California,Santa Barbara
Peoria,Arizona,Maricopa
Cedar Rapids,Iowa,Linn
Vancouver,Washington,Clark
Glendale,California,Los Angeles
Gastonia,North Carolina,Gaston
Spring Hill,Florida,Hernando
Murfreesboro,Tennessee,Rutherford
Tempe,Arizona,Maricopa
Paradise,Nevada,Clark
Newport News,Virginia,Newport News
Erie,Pennsylvania,Erie
Fort Lauderdale,Florida,Broward
Gainesville,Georgia,Hall
Aurora,Illinois,Kane
Mauldin,South Carolina,Greenville
Ontario,California,San Bernardino
Elk Grove,California,Sacramento
Panama City,Florida,Bay
Cary,North Carolina,Wake
Hemet,California,Riverside
Danbury,Connecticut,Western Connecticut
Rancho Cucamonga,California,San Bernardino
Salinas,California,Monterey
Oceanside,California,San Diego
Vallejo,California,Solano
High Point,North Carolina,Guilford
Garden Grove,California,Orange
Pembroke Pines,Florida,Broward
Lancaster,California,Los Angeles
Marysville,Washington,Snohomish
Bayamón,Puerto Rico,Bayamón
Fredericksburg,Virginia,Fredericksburg
Visalia,California,Tulare
Tuscaloosa,Alabama,Tuscaloosa
Palmdale,California,Los Angeles
Santa Cruz,California,Santa Cruz
Medford,Oregon,Jackson
Norwich,Connecticut,Southeastern Connecticut
Merced,California,Merced
Manchester,New Hampshire,Hillsborough
Odessa,Texas,Ector
Muskegon,Michigan,Muskegon
Leesburg,Florida,Lake
Lafayette,Indiana,Tippecanoe
Hayward,California,Alameda
Corona,California,Riverside
Paterson,New Jersey,Passaic
Alexandria,Virginia,Alexandria
Macon,Georgia,Bibb
Lakewood,Colorado,Jefferson
Springfield,Illinois,Sangamon
Kansas City,Kansas,Wyandotte
Burlington,North Carolina,Alamance
Warner Robins,Georgia,Houston
Sunnyvale,California,Santa Clara
Hollywood,Florida,Broward
Roseville,California,Placer
New Bedford,Massachusetts,Bristol
South Lyon,Michigan,Oakland
Bellevue,Washington,King
Fairfield,California,Solano
Binghamton,New York,Broome
