cert,bank_name,address,city,state,zip,deposit,branch_name,established_date,latitude,longitude,county,risk_score,risk_rating
22858,United Bank,234 Grand Central Mall,FAIRFAX,Virginia,22030,22375,Grand Central Mall Branch,1973-05-29,39.31039456,-81.55289371,Fairfax,94.5911549475024,Relatively Moderate
4297,"Capital One, National Association",21619 Jamaica Ave,MCLEAN,Virginia,22102,153276,Queens Village Branch,1937-06-19,40.71785157,-73.73824714,Fairfax,94.5911549475024,Relatively Moderate
4297,"Capital One, National Association",49th & Madison Avenue,MCLEAN,Virginia,22102,0,49Th & Madison Street Branch,2002-12-20,40.75863022,-73.96809182,Fairfax,94.5911549475024,Relatively Moderate
22858,United Bank,2071 Chain Bridge Rd,FAIRFAX,Virginia,22030,1543093,Tysons Branch,1995-08-30,38.91619098,-77.23627283,Fairfax,94.5911549475024,Relatively Moderate
4297,"Capital One, National Association",501 Broadway,MCLEAN,Virginia,22102,452084,501 Broadway,2002-09-30,40.72223937,-73.99968893,Fairfax,94.5911549475024,Relatively Moderate
22858,United Bank,213 N Chestnut St,FAIRFAX,Virginia,22030,33102,Mount Olive Branch,1962-05-08,35.19801,-78.06687199,Fairfax,94.5911549475024,Relatively Moderate
4297,"Capital One, National Association",151 E Fordham Rd,MCLEAN,Virginia,22102,106805,Fordham Road Branch,2002-01-07,40.86256647,-73.89791167,Fairfax,94.5911549475024,Relatively Moderate
22858,United Bank,117 E Southerland St,FAIRFAX,Virginia,22030,38066,Wallace Branch,1959-08-18,34.73676401,-77.99540001,Fairfax,94.5911549475024,Relatively Moderate
4297,"Capital One, National Association",121 Middle Neck Rd,MCLEAN,Virginia,22102,262219,Great Neck Village Branch,1978-12-19,40.7901174,-73.72998292,Fairfax,94.5911549475024,Relatively Moderate
22858,United Bank,1600 Tarboro St W,FAIRFAX,Virginia,22030,46510,Wilson Main Branch,1975-11-03,35.72160201,-77.94012404,Fairfax,94.5911549475024,Relatively Moderate
4297,"Capital One, National Association",300 S Wellwood Ave,MCLEAN,Virginia,22102,108323,Lindenhurst Branch,1934-01-01,40.68424181,-73.37008789,Fairfax,94.5911549475024,Relatively Moderate
22858,United Bank,1900 W Vernon Ave,FAIRFAX,Virginia,22030,37455,Kinston Main Branch,1977-03-21,35.27029101,-77.60665798,Fairfax,94.5911549475024,Relatively Moderate
4297,"Capital One, National Association",422 Hillside Ave,MCLEAN,Virginia,22102,390035,Williston Park Branch,1928-01-01,40.75424818,-73.65707931,Fairfax,94.5911549475024,Relatively Moderate
22858,United Bank,110 N Jk Powell Blvd,FAIRFAX,Virginia,22030,64390,Whiteville Branch,1997-09-02,34.329984,-78.70730002,Fairfax,94.5911549475024,Relatively Moderate
4297,"Capital One, National Association",2050 Jericho Tpke,MCLEAN,Virginia,22102,227148,Commack Branch,1976-03-27,40.84464478,-73.27359919,Fairfax,94.5911549475024,Relatively Moderate
22858,United Bank,105 Hickman Rd,FAIRFAX,Virginia,22030,26449,Tabor City Branch,1997-09-02,34.14800199,-78.87618498,Fairfax,94.5911549475024,Relatively Moderate
22858,United Bank,3178 Holden Beach Rd Sw,FAIRFAX,Virginia,22030,43187,Holden Beach Road Branch,2000-11-20,33.92811801,-78.27333302,Fairfax,94.5911549475024,Relatively Moderate
4297,"Capital One, National Association",1745 Broadway,MCLEAN,Virginia,22102,7297121,Nyc 56Th And Broadway Branch,2003-02-18,40.76524369,-73.98226404,Fairfax,94.5911549475024,Relatively Moderate
4297,"Capital One, National Association",14621 Jamaica Ave,MCLEAN,Virginia,22102,222636,Sutphin Boulevard Branch,1934-11-28,40.70186344,-73.80867327,Fairfax,94.5911549475024,Relatively Moderate
22858,United Bank,310 Wright Blvd,FAIRFAX,Virginia,22030,55968,Downtown Conway Branch,2006-08-18,33.831841,-79.05570397,Fairfax,94.5911549475024,Relatively Moderate
4297,"Capital One, National Association",3702 82nd St,MCLEAN,Virginia,22102,145359,Jackson Heights Branch,1946-06-08,40.74962087,-73.88445033,Fairfax,94.5911549475024,Relatively Moderate
22858,United Bank,3289 Woodburn Rd,FAIRFAX,Virginia,22030,166327,Woodburn Branch,1988-07-01,38.85436544,-77.22326672,Fairfax,94.5911549475024,Relatively Moderate
4297,"Capital One, National Association",6124 188th St,MCLEAN,Virginia,22102,272510,Fresh Meadows Branch,1949-03-12,40.73986207,-73.78645918,Fairfax,94.5911549475024,Relatively Moderate
22858,United Bank,4945 Southport Supply Rd Se,FAIRFAX,Virginia,22030,40855,Southport Supply Branch,2006-12-28,33.95273902,-78.05253701,Fairfax,94.5911549475024,Relatively Moderate
4297,"Capital One, National Association",175 W 72nd St,MCLEAN,Virginia,22102,229226,72Nd Street Branch,1998-08-24,40.77860486,-73.9811951,Fairfax,94.5911549475024,Relatively Moderate
22858,United Bank,840 Sunset Blvd N,FAIRFAX,Virginia,22030,65246,Sunset Beach Branch,2007-05-07,33.89582799,-78.48967899,Fairfax,94.5911549475024,Relatively Moderate
4297,"Capital One, National Association",1867 Barataria Blvd,MCLEAN,Virginia,22102,193322,Belle Promenade Branch,1986-05-22,29.876777,-90.09794903,Fairfax,94.5911549475024,Relatively Moderate
