branch_id,cert,bank_name,address,city,state,zip,deposit,branch_name,established_date,latitude,longitude,county,risk_score,risk_score
1,1895,Farmers and Merchants Bank,15226 Hanover Pike,Upperco,Maryland,21155,206542,Farmers And Merchants Bank,1/1/1919,39.54388799,-76.83807996,Baltimore,95.19567292,High
2,29613,Rosedale Federal Savings and Loan Association,9616 Belair Rd,Nottingham,Maryland,21236,7598,Rosedale Federal Savings And Loan Association,1/1/1908,39.41352999,-76.46406997,Baltimore,95.19567292,High
3,24015,The Harbor Bank of Maryland,1000 Lancaster St Ste C,Baltimore,Maryland,21201,14857,Inner Harbor East Branch,5/19/1997,39.282756,-76.59955497,Baltimore,95.19567292,High
4,24015,The Harbor Bank of Maryland,1509 Havenwood Rd,Baltimore,Maryland,21201,19510,Northwood Branch,6/20/2022,39.34073199,-76.59196197,Baltimore,95.19567292,High
5,24015,The Harbor Bank of Maryland,"855 N Wolfe St, Ste C",Baltimore,Maryland,21201,15061,Science & Technology Park East At Johns Hopkins Branch,3/16/2009,39.300107,-76.590644,Baltimore,95.19567292,High
6,24015,The Harbor Bank of Maryland,800 W Baltimore St,Baltimore,Maryland,21201,25566,Research Park Branch,10/1/2005,39.289228,-76.62949303,Baltimore,95.19567292,High
7,24015,The Harbor Bank of Maryland,5000 Park Heights Ave,Baltimore,Maryland,21201,15490,Park Heights Branch,11/5/1951,39.34753902,-76.67390597,Baltimore,95.19567292,High
8,24015,The Harbor Bank of Maryland,25 W Fayette St,Baltimore,Maryland,21201,178554,The Harbor Bank Of Maryland,9/13/1982,39.29015601,-76.61616999,Baltimore,95.19567292,High
9,32527,BayVanguard Bank,7114 N Point Rd,Baltimore,Maryland,21219,134322,Bayvanguard Bank,1873-09-01,39.24112698,-76.44605097,Baltimore,95.19567292,High
10,32527,BayVanguard Bank,"921 E Fort Ave, Ste 102",Baltimore,Maryland,21219,17328,Fort Ave Branch,3/1/1992,39.27079901,-76.60112096,Baltimore,95.19567292,High
11,32527,BayVanguard Bank,532 Eastern Blvd,Baltimore,Maryland,21219,27819,Essex Branch,5/13/1927,39.30940002,-76.47396103,Baltimore,95.19567292,High
12,32527,BayVanguard Bank,"5525 Eastern Avenue, Suite #101",Baltimore,Maryland,21219,44492,Yard 56 Branch,6/30/1985,39.28720865,-76.54917515,Baltimore,95.19567292,High
13,32527,BayVanguard Bank,3101 North Point Rd,Baltimore,Maryland,21219,19258,3101 Old No Point Rd Branch,6/30/1985,39.277765,-76.48588303,Baltimore,95.19567292,High
14,32527,BayVanguard Bank,1920 Rock Spring Rd,Baltimore,Maryland,21219,42990,Forest Hill Branch,5/4/1904,39.57005499,-76.38109801,Baltimore,95.19567292,High
15,32527,BayVanguard Bank,8639 Belair Rd,Baltimore,Maryland,21219,31511,Perry Hall Branch,1899-01-01,39.390593,-76.48942699,Baltimore,95.19567292,High
16,32527,BayVanguard Bank,501 Idlewild Ave,Baltimore,Maryland,21219,80367,Idlewild Avenue Branch,7/1/1993,38.76499201,-76.06835403,Baltimore,95.19567292,High
17,32527,BayVanguard Bank,803 Woods Rd,Baltimore,Maryland,21219,37288,Woods Road Branch,12/23/1968,38.55707501,-76.06005603,Baltimore,95.19567292,High
18,24015,The Harbor Bank of Maryland,8530 Liberty Rd,Baltimore,Maryland,21201,33567,Liberty Plaza Branch,11/15/1974,39.36126799,-76.77740596,Baltimore,95.19567292,High
19,32360,"Eastern Savings Bank, FSB","10060 Baltimore National Pike, Ste G110",Hunt Valley,Maryland,21031,45004,Baltimore National Pike Branch,10/16/1995,39.28000799,-76.85798103,Baltimore,95.19567292,High
20,32527,BayVanguard Bank,104 Factory St,Baltimore,Maryland,21219,8494,Oxford Bank & Trust Branch,11/13/2001,38.68940333,-76.17214913,Baltimore,95.19567292,High
21,32360,"Eastern Savings Bank, FSB",4113 Wholesale Club Dr,Hunt Valley,Maryland,21031,63543,4113 Wholesale Club Drive Branch,6/30/1986,39.37887401,-76.50143398,Baltimore,95.19567292,High
22,29613,Rosedale Federal Savings and Loan Association,7939 Honeygo Blvd,Nottingham,Maryland,21236,96392,White Marsh Branch,1/1/1908,39.372056,-76.47171602,Baltimore,95.19567292,High
23,29613,Rosedale Federal Savings and Loan Association,3111 Emmorton Rd,Nottingham,Maryland,21236,62586,Abingdon Branch,10/4/1999,39.475593,-76.30864098,Baltimore,95.19567292,High
24,29613,Rosedale Federal Savings and Loan Association,104 Forest Valley Dr,Nottingham,Maryland,21236,50876,Forest Hill Branch,6/30/2000,39.55966101,-76.37242601,Baltimore,95.19567292,High
